policy,total_cost,sla_violation_rate,total_under,total_over,stability,avg_utilization,peak_utilization
static,2701242.0,66.44067796610169,449027,100670,0.0,1.1968118644067796,3.8475
rolling,1579419.62,32.54237288135593,261714,427262,5584.0,1.127546967562897,11.625454545454545
target_tracking,1482218.52,26.779661016949152,245430,536703,6373.0,1.1145047275475033,12.788
ml,2086376.9199999997,41.35593220338983,346369,268742,6726.0,1.566817568669816,44.976
hybrid,2545599.3800000004,56.949152542372886,423037,149025,7018.0,1.6623494242036176,44.976
ortools,1333057.14,24.40677966101695,220541,554969,6653.0,1.0678323902585434,11.625454545454545
